name,AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
Porites arnaudi,288888,https://www.marinespecies.org/aphia.php?p=taxdetails&id=288888,Porites arnaudi,"Reyes-Bonilla & Carricart-Ganivet, 2000",accepted,NA,220,Species,288888,Porites arnaudi,"Reyes-Bonilla & Carricart-Ganivet, 2000",206485,Animalia,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,"Hoeksema, B. W.; Cairns, S. (2023). World List of Scleractinia. Porites arnaudi Reyes-Bonilla & Carricart-Ganivet, 2000. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=288888 on 2023-01-18",urn:lsid:marinespecies.org:taxname:288888,1,NA,0,0,NA,exact,2022-12-30T10:18:02.270Z
Porites lobata,207225,https://www.marinespecies.org/aphia.php?p=taxdetails&id=207225,Porites lobata,"Dana, 1846",accepted,NA,220,Species,207225,Porites lobata,"Dana, 1846",206485,Animalia,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,"Hoeksema, B. W.; Cairns, S. (2023). World List of Scleractinia. Porites lobata Dana, 1846. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=207225 on 2023-01-18",urn:lsid:marinespecies.org:taxname:207225,1,NA,0,0,NA,exact,2022-12-30T10:18:02.270Z
Porites panamensis,288912,https://www.marinespecies.org/aphia.php?p=taxdetails&id=288912,Porites panamensis,"Verrill, 1866",accepted,NA,220,Species,288912,Porites panamensis,"Verrill, 1866",206485,Animalia,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,"Hoeksema, B. W.; Cairns, S. (2023). World List of Scleractinia. Porites panamensis Verrill, 1866. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=288912 on 2023-01-18",urn:lsid:marinespecies.org:taxname:288912,1,NA,0,0,NA,exact,2022-12-30T10:18:02.270Z
Porites evermanni,288900,https://www.marinespecies.org/aphia.php?p=taxdetails&id=288900,Porites evermanni,"Vaughan, 1907",accepted,NA,220,Species,288900,Porites evermanni,"Vaughan, 1907",206485,Animalia,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,"Hoeksema, B. W.; Cairns, S. (2023). World List of Scleractinia. Porites evermanni Vaughan, 1907. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=288900 on 2023-01-18",urn:lsid:marinespecies.org:taxname:288900,1,NA,0,0,NA,exact,2022-12-30T10:18:02.270Z
Pavona chiriquiensis,289200,https://www.marinespecies.org/aphia.php?p=taxdetails&id=289200,Pavona chiriquiensis,"Glynn, Maté & Stemann, 2001",accepted,NA,220,Species,289200,Pavona chiriquiensis,"Glynn, Maté & Stemann, 2001",206614,Animalia,Cnidaria,Anthozoa,Scleractinia,Agariciidae,Pavona,"Hoeksema, B. W.; Cairns, S. (2023). World List of Scleractinia. Pavona chiriquiensis Glynn, Maté & Stemann, 2001. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=289200 on 2023-01-18",urn:lsid:marinespecies.org:taxname:289200,1,NA,0,0,NA,exact,2022-06-01T16:21:40.033Z
Pavona clavus,207318,https://www.marinespecies.org/aphia.php?p=taxdetails&id=207318,Pavona clavus,"(Dana, 1846)",accepted,NA,220,Species,207318,Pavona clavus,"(Dana, 1846)",206614,Animalia,Cnidaria,Anthozoa,Scleractinia,Agariciidae,Pavona,"Hoeksema, B. W.; Cairns, S. (2023). World List of Scleractinia. Pavona clavus (Dana, 1846). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=207318 on 2023-01-18",urn:lsid:marinespecies.org:taxname:207318,1,NA,0,0,NA,exact,2022-06-02T18:50:41.990Z
Pavona frondifera,207307,https://www.marinespecies.org/aphia.php?p=taxdetails&id=207307,Pavona frondifera,"(Lamarck, 1816)",accepted,NA,220,Species,207307,Pavona frondifera,"(Lamarck, 1816)",206614,Animalia,Cnidaria,Anthozoa,Scleractinia,Agariciidae,Pavona,"Hoeksema, B. W.; Cairns, S. (2023). World List of Scleractinia. Pavona frondifera (Lamarck, 1816). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=207307 on 2023-01-18",urn:lsid:marinespecies.org:taxname:207307,1,NA,0,0,NA,exact,2022-06-02T18:50:41.990Z
Pavona gigantea,289201,https://www.marinespecies.org/aphia.php?p=taxdetails&id=289201,Pavona gigantea,"(Verrill, 1869)",accepted,NA,220,Species,289201,Pavona gigantea,"(Verrill, 1869)",206614,Animalia,Cnidaria,Anthozoa,Scleractinia,Agariciidae,Pavona,"Hoeksema, B. W.; Cairns, S. (2023). World List of Scleractinia. Pavona gigantea (Verrill, 1869). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=289201 on 2023-01-18",urn:lsid:marinespecies.org:taxname:289201,1,NA,0,0,NA,exact,2022-05-11T17:09:53.353Z
Pavona maldivensis,207309,https://www.marinespecies.org/aphia.php?p=taxdetails&id=207309,Pavona maldivensis,"(Gardiner, 1905)",accepted,NA,220,Species,207309,Pavona maldivensis,"(Gardiner, 1905)",206614,Animalia,Cnidaria,Anthozoa,Scleractinia,Agariciidae,Pavona,"Hoeksema, B. W.; Cairns, S. (2023). World List of Scleractinia. Pavona maldivensis (Gardiner, 1905). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=207309 on 2023-01-18",urn:lsid:marinespecies.org:taxname:207309,1,NA,0,0,NA,exact,2022-05-11T16:37:45.363Z
Pavona varians,207303,https://www.marinespecies.org/aphia.php?p=taxdetails&id=207303,Pavona varians,"(Verrill, 1864)",accepted,NA,220,Species,207303,Pavona varians,"(Verrill, 1864)",206614,Animalia,Cnidaria,Anthozoa,Scleractinia,Agariciidae,Pavona,"Hoeksema, B. W.; Cairns, S. (2023). World List of Scleractinia. Pavona varians (Verrill, 1864). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=207303 on 2023-01-18",urn:lsid:marinespecies.org:taxname:207303,1,NA,0,0,NA,exact,2022-06-02T18:50:41.990Z
