id,name,AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
61,Diodon holocanthus,127402,https://www.marinespecies.org/aphia.php?p=taxdetails&id=127402,Diodon holocanthus,"Linnaeus, 1758",accepted,NA,220,Species,127402,Diodon holocanthus,"Linnaeus, 1758",126231,Animalia,Chordata,Teleostei,Tetraodontiformes,Diodontidae,Diodon,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Diodon holocanthus Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127402 on 2023-01-20",urn:lsid:marinespecies.org:taxname:127402,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
62,Diodon hystrix,127403,https://www.marinespecies.org/aphia.php?p=taxdetails&id=127403,Diodon hystrix,"Linnaeus, 1758",accepted,NA,220,Species,127403,Diodon hystrix,"Linnaeus, 1758",126231,Animalia,Chordata,Teleostei,Tetraodontiformes,Diodontidae,Diodon,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Diodon hystrix Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127403 on 2023-01-20",urn:lsid:marinespecies.org:taxname:127403,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
63,Apogon retrosella,273084,https://www.marinespecies.org/aphia.php?p=taxdetails&id=273084,Apogon retrosella,"(Gill, 1862)",accepted,NA,220,Species,273084,Apogon retrosella,"(Gill, 1862)",125913,Animalia,Chordata,Teleostei,Kurtiformes,Apogonidae,Apogon,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Apogon retrosella (Gill, 1862). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=273084 on 2023-01-20",urn:lsid:marinespecies.org:taxname:273084,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
64,Holacanthus passer,276016,https://www.marinespecies.org/aphia.php?p=taxdetails&id=276016,Holacanthus passer,"Valenciennes, 1846",accepted,NA,220,Species,276016,Holacanthus passer,"Valenciennes, 1846",159282,Animalia,Chordata,Teleostei,Acanthuriformes,Pomacanthidae,Holacanthus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Holacanthus passer Valenciennes, 1846. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=276016 on 2023-01-20",urn:lsid:marinespecies.org:taxname:276016,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
65,Zanclus cornutus,220083,https://www.marinespecies.org/aphia.php?p=taxdetails&id=220083,Zanclus cornutus,"(Linnaeus, 1758)",accepted,NA,220,Species,220083,Zanclus cornutus,"(Linnaeus, 1758)",204304,Animalia,Chordata,Teleostei,Acanthuriformes,Zanclidae,Zanclus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Zanclus cornutus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=220083 on 2023-01-20",urn:lsid:marinespecies.org:taxname:220083,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
66,Scorpaena mystes,274726,https://www.marinespecies.org/aphia.php?p=taxdetails&id=274726,Scorpaena mystes,"Jordan & Starks, 1895",accepted,NA,220,Species,274726,Scorpaena mystes,"Jordan & Starks, 1895",126171,Animalia,Chordata,Teleostei,Perciformes,Scorpaenidae,Scorpaena,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Scorpaena mystes Jordan & Starks, 1895. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=274726 on 2023-01-20",urn:lsid:marinespecies.org:taxname:274726,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
67,Caranx melampygus,218419,https://www.marinespecies.org/aphia.php?p=taxdetails&id=218419,Caranx melampygus,"Cuvier, 1833",accepted,NA,220,Species,218419,Caranx melampygus,"Cuvier, 1833",125936,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Caranx,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Caranx melampygus Cuvier, 1833. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=218419 on 2023-01-20",urn:lsid:marinespecies.org:taxname:218419,1,1,0,0,NA,exact,2008-01-15T17:27:08.177Z
68,Trachinotus rhodopus,273297,https://www.marinespecies.org/aphia.php?p=taxdetails&id=273297,Trachinotus rhodopus,"Gill, 1863",accepted,NA,220,Species,273297,Trachinotus rhodopus,"Gill, 1863",125945,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Trachinotus,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Trachinotus rhodopus Gill, 1863. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=273297 on 2023-01-20",urn:lsid:marinespecies.org:taxname:273297,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
69,Echidna nebulosa,217469,https://www.marinespecies.org/aphia.php?p=taxdetails&id=217469,Echidna nebulosa,"(Ahl, 1789)",accepted,NA,220,Species,217469,Echidna nebulosa,"(Ahl, 1789)",206151,Animalia,Chordata,Teleostei,Anguilliformes,Muraenidae,Echidna,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Echidna nebulosa (Ahl, 1789). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=217469 on 2023-01-20",urn:lsid:marinespecies.org:taxname:217469,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
70,Gymnomuraena zebra,217476,https://www.marinespecies.org/aphia.php?p=taxdetails&id=217476,Gymnomuraena zebra,"(Shaw, 1797)",accepted,NA,220,Species,217476,Gymnomuraena zebra,"(Shaw, 1797)",203816,Animalia,Chordata,Teleostei,Anguilliformes,Muraenidae,Gymnomuraena,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Gymnomuraena zebra (Shaw, 1797). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=217476 on 2023-01-20",urn:lsid:marinespecies.org:taxname:217476,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
